chromosome,start,end,orientation,name,wbid,gname
chrII,1867,4663,+,2L52.1,WBGene00007063,
chrII,15268136,15273238,+,2RSSE.1,WBGene00007064,
chrIII,13777589,13781032,+,3R5.1,WBGene00007065,pot-3
chrIV,17486946,17490461,-,4R79.1,WBGene00003525,nas-6
chrIV,17480360,17483294,-,4R79.2,WBGene00007067,
chrX,17714380,17714756,+,6R55.2,WBGene00007069,
chrV,10368533,10369845,+,AC3.1,WBGene00005532,sri-20
chrV,10384134,10385688,+,AC3.10,WBGene00004964,spe-10
chrV,10372118,10374238,+,AC3.2,WBGene00007070,ugt-49
chrV,10380316,10381800,-,AC3.3,WBGene00000024,abu-1
chrV,10382419,10383953,+,AC3.4,WBGene00004098,pqn-2
chrV,10388447,10393480,+,AC3.5,WBGene00007071,
chrV,10393508,10395209,-,AC3.6,WBGene00000724,col-151
chrV,10395654,10397794,+,AC3.7,WBGene00007072,ugt-1
chrV,10398787,10401290,+,AC3.8,WBGene00007073,ugt-2
chrIV,5112921,5122011,-,AC7.1,WBGene00006428,tkr-3
chrIV,5126998,5145802,-,AC7.2,WBGene00004929,soc-2
chrIV,5111678,5112867,+,AC7.3,WBGene00014997,
chrX,237496,239177,-,AC8.10,WBGene00043988,
chrX,236067,236810,-,AC8.11,WBGene00043989,
chrX,239849,240779,+,AC8.12,WBGene00043990,
chrX,228080,229761,-,AC8.3,WBGene00007075,
chrX,226651,227394,-,AC8.4,WBGene00007076,
chrX,230433,231363,+,AC8.7,WBGene00007079,
chrV,14146494,14148769,+,AH10.1,WBGene00007082,acs-10
chrV,14156816,14157607,+,AH10.2,WBGene00007083,
chrV,14144015,14145396,-,AH10.3,WBGene00007084,
chrV,14137333,14137845,-,AH10.4,WBGene00007085,
chrII,9512431,9516877,-,AH6.1,WBGene00001528,gcy-1
chrII,9548346,9549639,-,AH6.10,WBGene00005032,sra-6
chrII,9544626,9546148,+,AH6.11,WBGene00005033,sra-7
chrII,9537669,9539025,+,AH6.12,WBGene00005034,sra-8
chrII,9532239,9533914,+,AH6.14,WBGene00005035,sra-9
chrII,9517509,9518837,-,AH6.2,WBGene00007080,sfxn-1.1
chrII,9519037,9520151,+,AH6.3,WBGene00007081,
chrII,9520141,9521611,-,AH6.4,WBGene00005027,sra-1
chrII,9524113,9526307,+,AH6.5,WBGene00003231,mex-6
