gname,chromosome,orientation,start,end
YAL069W,chrI,+,334,649
YAL068W-A,chrI,+,537,792
YAL068C,chrI,-,1806,2169
YAL067W-A,chrI,+,2479,2707
YAL067C,chrI,-,7234,9016
YAL066W,chrI,+,10090,10399
YAL065C,chrI,-,11564,11951
YAL064W-B,chrI,+,12045,12426
YAL064C-A,chrI,-,13362,13743
YAL064W,chrI,+,21565,21850
YAL063C-A,chrI,-,22394,22685
YAL063C,chrI,-,23999,27968
YAL062W,chrI,+,31566,32940
YAL061W,chrI,+,33447,34701
YAL060W,chrI,+,35154,36303
YAL059C-A,chrI,-,36495,36918
YAL059W,chrI,+,36508,37147
YAL058W,chrI,+,37463,38972
YAL056C-A,chrI,-,38695,39046
YAL056W,chrI,+,39258,41901
YAL055W,chrI,+,42176,42719
YAL054C,chrI,-,42880,45022
YAL053W,chrI,+,45898,48250
YAL051W,chrI,+,48563,51707
YAL049C,chrI,-,51854,52595
YAL048C,chrI,-,52800,54789
YAL047W-A,chrI,+,54583,54913
YAL047C,chrI,-,54988,56857
YAL046C,chrI,-,57028,57385
YAL045C,chrI,-,57487,57796
YAL044W-A,chrI,+,57517,57850
YAL044C,chrI,-,57949,58462
YAL043C,chrI,-,58694,61052
YAL042C-A,chrI,-,61230,61608
YAL042W,chrI,+,61315,62563
YAL041W,chrI,+,62839,65404
YAL040C,chrI,-,65777,67520
YAL039C,chrI,-,68715,69525
YAL038W,chrI,+,71785,73288
YAL037C-B,chrI,-,72325,73300
YAL037C-A,chrI,-,73425,73518
YAL037W,chrI,+,74019,74823
YAL036C,chrI,-,75042,76152
YAL035W,chrI,+,76426,79435
YAL034C-B,chrI,-,79488,79842
YAL034W-A,chrI,+,79717,80587
YAL034C,chrI,-,80709,81951
YAL033W,chrI,+,82705,83227
YAL032C,chrI,-,83334,84474
YAL031W-A,chrI,+,84668,84977
YAL031C,chrI,-,84748,87031
YAL030W,chrI,+,87285,87752
YAL029C,chrI,-,87854,92270
YAL028W,chrI,+,92899,94486
YAL027W,chrI,+,94686,95472
YAL026C-A,chrI,-,95385,95823
YAL026C,chrI,-,95629,99697
HRA1,chrI,+,99304,99868
YAL025C,chrI,-,100224,101145
YAL024C,chrI,-,101564,105872
YAL023C,chrI,-,106271,108551
YAL022C,chrI,-,108876,110430
YAL021C,chrI,-,110845,113359
YAL020C,chrI,-,113613,114615
