ENSG,chromosome,orientation,gname,start,end
ENSG00000186132,chr2,-,C2orf76,119302225,119366828
ENSG00000182584,chr20,+,ACTL10,33666498,33668525
ENSG00000174799,chr4,+,CEP135,55948871,56033363
ENSG00000116691,chr1,+,MIIP,12019466,12032045
ENSG00000149609,chr20,+,C20orf144,33662284,33665619
ENSG00000110104,chr11,+,CCDC86,60842071,60851081
ENSG00000121236,chr11,+,TRIM6,5596109,5612958
ENSG00000140807,chr16,+,NKD1,50548330,50640739
ENSG00000163938,chr3,+,GNL3,52681156,52694492
ENSG00000163645,chr3,-,ERICH6,150659885,150703971
ENSG00000100926,chr14,-,TM9SF1,24189143,24195687
ENSG00000114107,chr3,-,CEP70,138494344,138594538
ENSG00000256294,chr19,+,ZNF225,44112181,44134816
ENSG00000144908,chr3,-,ALDH1L1,126103562,126197994
ENSG00000168917,chr3,+,SLC35G2,136818647,136855892
ENSG00000103404,chr16,-,USP31,23061406,23149270
ENSG00000107779,chr10,+,BMPR1A,86756650,86932838
ENSG00000102265,chrX,+,TIMP1,47582313,47586789
ENSG00000150977,chr12,-,RILPL2,123410683,123436717
ENSG00000171421,chr5,-,MRPL36,1798386,1801366
ENSG00000147604,chr8,-,RPL7,73290267,73295789
ENSG00000110324,chr11,+,IL10RA,117986348,118001483
ENSG00000061676,chr2,-,NCKAP1,182909115,183038858
ENSG00000132781,chr1,-,MUTYH,45329163,45340470
ENSG00000174226,chr8,-,SNX31,100572882,100663415
ENSG00000175497,chr2,+,DPP10,114442299,115845752
ENSG00000109079,chr17,+,TNFAIP1,28335602,28347009
ENSG00000187258,chr7,+,NPSR1,34658239,34878332
ENSG00000138750,chr4,-,NUP54,76114659,76148515
ENSG00000164796,chr8,-,CSMD3,112222928,113437099
ENSG00000278259,chr17,-,MYO19,36495633,36543435
ENSG00000187736,chr2,-,NHEJ1,219075317,219160865
ENSG00000148832,chr10,+,PAOX,133379234,133391694
ENSG00000102181,chrX,-,CD99L2,150766337,150898816
ENSG00000241973,chr22,-,PI4KA,20707691,20859417
ENSG00000149179,chr11,+,C11orf49,46936689,47164385
ENSG00000171984,chr20,+,C20orf196,5750393,5863912
ENSG00000154309,chr1,+,DISP1,222872271,223005995
ENSG00000214107,chrX,+,MAGEB1,30243730,30252038
ENSG00000165280,chr9,-,VCP,35056064,35073249
ENSG00000143379,chr1,+,SETDB1,150926263,150964744
ENSG00000109184,chr4,+,DCUN1D4,51843000,51916837
ENSG00000168389,chr1,+,MFSD2A,39955112,39969968
ENSG00000144554,chr3,+,FANCD2,10026414,10101930
ENSG00000171786,chr1,+,NHLH1,160367067,160372848
ENSG00000169862,chr5,-,CTNND2,10971840,11904043
ENSG00000158869,chr1,+,FCER1G,161215234,161220699
ENSG00000158473,chr1,+,CD1D,158179947,158184896
ENSG00000162576,chr1,-,MXRA8,1352689,1361777
ENSG00000197165,chr16,-,SULT1A2,28591943,28597109
ENSG00000163607,chr3,+,GTPBP8,112990918,113015060
ENSG00000182968,chr13,+,SOX1,112067647,112070488
ENSG00000108654,chr17,-,DDX5,64499616,64508199
ENSG00000166908,chr12,+,PIP4K2C,57591174,57603418
ENSG00000144579,chr2,+,CTDSP1,218398256,218405941
ENSG00000003137,chr2,-,CYP26B1,72129238,72148038
ENSG00000140941,chr16,+,MAP1LC3B,87383995,87404779
ENSG00000125388,chr4,+,GRK4,2963608,3040747
ENSG00000170468,chr14,+,C14orf169,73490964,73493392
ENSG00000166341,chr11,-,DCHS1,6621323,6655854
ENSG00000215183,chr9,-,MSMP,35752990,35756613
ENSG00000148335,chr9,+,NTMT1,129608884,129636131
ENSG00000033178,chr4,-,UBA6,67612652,67701179
ENSG00000176973,chr11,+,FAM89B,65572349,65574198
ENSG00000109066,chr17,+,TMEM104,74776483,74839779
ENSG00000144339,chr2,-,TMEFF2,191949043,192195709
ENSG00000198870,chr9,+,STKLD1,133376367,133406096
ENSG00000132938,chr13,+,MTUS2,28820348,29505947
ENSG00000188677,chr22,+,PARVB,43999211,44172949
ENSG00000139132,chr12,+,FGD4,32399529,32646050
